순위,문항,교사가 관찰할 행동,가중점수,체크(해당=1),획득점수
1,A10_Score,새 친구를 사귀기 어려움,13,,가중점수 × 체크값
2,A1_Score,다른 사람이 잘 알아차리지 못하는 작은 소리를 자주 알아차림,12,,가중점수 × 체크값
3,A4_Score,한 활동에서 다른 활동으로 전환하기 어려움,11,,가중점수 × 체크값
4,A8_Score,또래와 가상놀이·역할놀이를 즐기는 경향이 적음,11,,가중점수 × 체크값
5,A7_Score,이야기 속 인물의 의도나 감정을 파악하기 어려움,10,,가중점수 × 체크값
6,A5_Score,또래와 대화를 계속 이어가는 방법을 어려워함,9,,가중점수 × 체크값
7,A3_Score,여러 사람의 대화를 동시에 따라가기 어려움,9,,가중점수 × 체크값
8,A9_Score,표정만 보고 상대의 생각이나 감정을 파악하기 어려움,9,,가중점수 × 체크값
9,A6_Score,가벼운 사회적 대화(잡담)를 어려워함,8,,가중점수 × 체크값
10,A2_Score,전체보다 작은 세부사항에 더 집중하는 경향,8,,가중점수 × 체크값
