feature,group,test,statistic,p_value,effect_size,effect_method,significant_0_05,n_used,category_count,expected_lt5_ratio,caution,association_rank
A4_Score,behavior,Chi-square,47.957773081116216,4.3549813371302115e-12,0.5209682047142729,Bias-corrected Cramer's V,True,174,2.0,0.0,,1
A6_Score,behavior,Chi-square,37.07885912698413,1.1344704967452094e-09,0.4566419532433667,Bias-corrected Cramer's V,True,174,2.0,0.0,,2
A8_Score,behavior,Chi-square,37.06018613000755,1.1453867273066092e-09,0.4565237490609584,Bias-corrected Cramer's V,True,174,2.0,0.0,,3
A9_Score,behavior,Chi-square,34.80222734254992,3.649556936810786e-09,0.44199741226835537,Bias-corrected Cramer's V,True,174,2.0,0.0,,4
A3_Score,behavior,Chi-square,30.598459899959316,3.1734555055190364e-08,0.41359601878723157,Bias-corrected Cramer's V,True,174,2.0,0.0,,5
A10_Score,behavior,Chi-square,27.822051187400024,1.3300153801105943e-07,0.3937163004515466,Bias-corrected Cramer's V,True,174,2.0,0.0,,6
A1_Score,behavior,Chi-square,19.66793330708172,9.21345483037956e-06,0.3284468312748809,Bias-corrected Cramer's V,True,174,2.0,0.0,,7
A5_Score,behavior,Chi-square,12.512085554371,0.00040432801169580234,0.25790047901050905,Bias-corrected Cramer's V,True,174,2.0,0.0,,8
A7_Score,behavior,Chi-square,11.640960782336933,0.0006451527158276856,0.2479457309911111,Bias-corrected Cramer's V,True,174,2.0,0.0,,9
A2_Score,behavior,Chi-square,9.312907218442929,0.0022754513665583114,0.2191339290379463,Bias-corrected Cramer's V,True,174,2.0,0.0,,10
country_of_res,background,Chi-square,12.445997732426305,0.0527274276802034,0.19251199011022296,Bias-corrected Cramer's V,False,174,7.0,0.14285714285714285,,11
ethnicity,background,Chi-square,8.625083097310956,0.12498565624687792,0.14417999196383538,Bias-corrected Cramer's V,False,174,6.0,0.08333333333333333,,12
age,background,Welch t-test,-0.25125787675527866,0.8019220310358527,0.019213020427892705,|Point-biserial r|,False,174,,,,13
relation,background,Chi-square,3.6977979733560096,0.4484462773942627,0.0,Bias-corrected Cramer's V,False,174,5.0,0.6,희소 범주 주의,14
gender,background,Chi-square,0.28240519726175456,0.5951290813598971,0.0,Bias-corrected Cramer's V,False,174,2.0,0.0,,15
family_asd,background,Chi-square,0.17638558848196847,0.6744979873062071,0.0,Bias-corrected Cramer's V,False,174,2.0,0.0,,16
jaundice,background,Chi-square,0.03248539335088891,0.8569664748273462,0.0,Bias-corrected Cramer's V,False,174,2.0,0.0,,17
used_app_before,background,Chi-square,0.0,1.0,0.0,Bias-corrected Cramer's V,False,174,2.0,0.5,희소 범주 주의,18
