feature,group,logistic_group_importance,random_forest_group_importance,encoded_column_count,logistic_normalized,random_forest_normalized,combined_importance,rank
A4_Score,behavior,1.7992854323805934,0.17563617386499267,1,0.11210666526958353,0.17563617386499267,0.1438714195672881,1
A8_Score,behavior,1.768552897511329,0.13266654570387787,1,0.1101918373398559,0.13266654570387787,0.12142919152186687,2
A1_Score,behavior,1.9406302337451795,0.10612642092070222,1,0.12091332487400792,0.10612642092070222,0.11351987289735507,3
A10_Score,behavior,2.0286630162197614,0.09815217953785114,1,0.12639831435928958,0.09815217953785114,0.11227524694857036,4
A9_Score,behavior,1.401102258537999,0.1244449315321889,1,0.08729737877028071,0.1244449315321889,0.1058711551512348,5
A3_Score,behavior,1.4640884425439995,0.08956721565943576,1,0.09122180950255569,0.08956721565943576,0.09039451258099573,6
A6_Score,behavior,1.3697029608397773,0.09010710829576558,1,0.08534100737227676,0.09010710829576558,0.08772405783402118,7
A7_Score,behavior,1.534511957593909,0.07148897557889976,1,0.09560963218300837,0.07148897557889976,0.08354930388095407,8
A5_Score,behavior,1.4991201677101287,0.05468372355469552,1,0.09340450370789874,0.05468372355469552,0.07404411363129713,9
A2_Score,behavior,1.2441058477435003,0.057126725351590565,1,0.07751552662124268,0.057126725351590565,0.06732112598641662,10
