rank,feature,observation,weight_source,raw_importance,normalized_weight,points
1,A10_Score,새 친구를 사귀기 어려움,Logistic Regression coefficient magnitude,2.0286630162197614,0.12639831435928958,13
2,A1_Score,다른 사람이 잘 알아차리지 못하는 작은 소리를 자주 알아차림,Logistic Regression coefficient magnitude,1.9406302337451795,0.12091332487400792,12
3,A4_Score,한 활동에서 다른 활동으로 전환하기 어려움,Logistic Regression coefficient magnitude,1.7992854323805934,0.11210666526958353,11
4,A8_Score,또래와 가상놀이·역할놀이를 즐기는 경향이 적음,Logistic Regression coefficient magnitude,1.768552897511329,0.1101918373398559,11
5,A7_Score,이야기 속 인물의 의도나 감정을 파악하기 어려움,Logistic Regression coefficient magnitude,1.534511957593909,0.09560963218300837,10
6,A5_Score,또래와 대화를 계속 이어가는 방법을 어려워함,Logistic Regression coefficient magnitude,1.4991201677101287,0.09340450370789874,9
7,A3_Score,여러 사람의 대화를 동시에 따라가기 어려움,Logistic Regression coefficient magnitude,1.4640884425439995,0.09122180950255569,9
8,A9_Score,표정만 보고 상대의 생각이나 감정을 파악하기 어려움,Logistic Regression coefficient magnitude,1.401102258537999,0.08729737877028071,9
9,A6_Score,가벼운 사회적 대화(잡담)를 어려워함,Logistic Regression coefficient magnitude,1.3697029608397773,0.08534100737227676,8
10,A2_Score,전체보다 작은 세부사항에 더 집중하는 경향,Logistic Regression coefficient magnitude,1.2441058477435003,0.07751552662124268,8
