column,english_description,exclusion_category,reason,dtype,missing_count,missing_pct
height,Child's Height (CM),현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,15140,29.4696
fipsst,State FIPS Code,ID/조사 관리용 변수,식별·표본설계·조사연도·가중치 변수,int8,0,0.0
stratum,Sampling Stratum,ID/조사 관리용 변수,식별·표본설계·조사연도·가중치 변수,object,0,0.0
hhid,Unique Household ID,ID/조사 관리용 변수,식별·표본설계·조사연도·가중치 변수,int32,0,0.0
formtype,Form Type,ID/조사 관리용 변수,식별·표본설계·조사연도·가중치 변수,object,0,0.0
totkids_r,Number of Children in Household,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,int8,0,0.0
tenure,The Conditions under Which Land or Buildings Are Held or Occupied,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,int8,0,0.0
hhlanguage,Primary Household Language,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,255,0.4964
k2q35a_1_years,Autism ASD - First Told Age in Years,결측치 과다,결측 비율이 50% 이상,float64,49174,95.7158
birth_mo,Birth Month,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,378,0.7358
birth_yr,Birth Year,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,494,0.9616
k6q41r_still,Stopped Breastfeeding - Still Breastfeeding,결측치 과다,결측 비율이 50% 이상,float64,39693,77.2613
k6q42r_never,First Fed Formula - Never,결측치 과다,결측 비율이 50% 이상,float64,37619,73.2243
k6q43r_never,First Fed Other - Never,결측치 과다,결측 비율이 50% 이상,float64,37687,73.3567
k6q13a,Questionnaire Covers Talks or Speech Sounds Concerns,결측치 과다,결측 비율이 50% 이상,float64,50239,97.7888
k6q13b,Questionnaire Covers Interaction Concerns,결측치 과다,결측 비율이 50% 이상,float64,50239,97.7888
k6q14a,Questionnaire Covers Words and Phrases Concerns,결측치 과다,결측 비율이 50% 이상,float64,46946,91.3791
k6q14b,Questionnaire Covers Behaves and Gets Along Concerns,결측치 과다,결측 비율이 50% 이상,float64,46946,91.3791
eyecare1,Eye Doctor Care - Examination,결측치 과다,결측 비율이 50% 이상,float64,28977,56.4029
eyecare2,Eye Doctor Care - Corrective Lenses,결측치 과다,결측 비율이 50% 이상,float64,28977,56.4029
eyecare3,Eye Doctor Care - Vision Disorder,결측치 과다,결측 비율이 50% 이상,float64,28977,56.4029
eyecare4,Eye Doctor Care - Some other care,결측치 과다,결측 비율이 50% 이상,float64,28977,56.4029
