column,english_description,dtype,missing_count,missing_pct
height,Child's Height (CM),float64,15140,29.4696
fipsst,State FIPS Code,int8,0,0.0
stratum,Sampling Stratum,object,0,0.0
hhid,Unique Household ID,int32,0,0.0
formtype,Form Type,object,0,0.0
totkids_r,Number of Children in Household,int8,0,0.0
tenure,The Conditions under Which Land or Buildings Are Held or Occupied,int8,0,0.0
hhlanguage,Primary Household Language,float64,255,0.4964
sc_age_years,Age of Selected Child - In Years,int8,0,0.0
sc_sex,Sex of Selected Child,int8,0,0.0
k2q35a_1_years,Autism ASD - First Told Age in Years,float64,49174,95.7158
birth_mo,Birth Month,float64,378,0.7358
birth_yr,Birth Year,float64,494,0.9616
k6q41r_still,Stopped Breastfeeding - Still Breastfeeding,float64,39693,77.2613
k6q42r_never,First Fed Formula - Never,float64,37619,73.2243
k6q43r_never,First Fed Other - Never,float64,37687,73.3567
k6q13a,Questionnaire Covers Talks or Speech Sounds Concerns,float64,50239,97.7888
k6q13b,Questionnaire Covers Interaction Concerns,float64,50239,97.7888
k6q14a,Questionnaire Covers Words and Phrases Concerns,float64,46946,91.3791
k6q14b,Questionnaire Covers Behaves and Gets Along Concerns,float64,46946,91.3791
eyecare1,Eye Doctor Care - Examination,float64,28977,56.4029
eyecare2,Eye Doctor Care - Corrective Lenses,float64,28977,56.4029
eyecare3,Eye Doctor Care - Vision Disorder,float64,28977,56.4029
eyecare4,Eye Doctor Care - Some other care,float64,28977,56.4029
k4q30_r_1,Dental Provider Visit - Dentist,float64,164,0.3192
k4q30_r_2,Dental Provider Visit - Other,float64,164,0.3192
k4q30_r_3,Dental Provider Visit - No,float64,164,0.3192
dentalserv1,Dental Service - Check-up,float64,9163,17.8355
dentalserv2,Dental Service - Cleaning,float64,9163,17.8355
dentalserv3,Dental Service - Instructions on Toothbrushing,float64,9163,17.8355
dentalserv4,Dental Service - X-Rays,float64,9163,17.8355
dentalserv5,Dental Service - Fluoride Treatment,float64,9163,17.8355
dentalserv6,Dental Service - Sealant,float64,9163,17.8355
dentalserv7,Dental Service - Don't Know,float64,9163,17.8355
k4q28x01,Needed Health Care Not Received - Medical Care,float64,49676,96.6929
k4q28x02,Needed Health Care Not Received - Dental Care,float64,49676,96.6929
k4q28x03,Needed Health Care Not Received - Vision Care,float64,49676,96.6929
k4q28x_ear,Needed Health Care Not Received - Hearing Care,float64,49676,96.6929
k4q28x04,Needed Health Care Not Received - Mental Health Services,float64,49676,96.6929
k4q28x05,Needed Health Care Not Received - Other,float64,49676,96.6929
sesplanyr,Special Education Plan - Age in Years,float64,43068,83.8307
sesplanmo,Special Education Plan - Age in Months (use with SESPLANYR),float64,49936,97.199
k4q37,Received Special Services - Age in Years,float64,42053,81.855
spcservmo,Received Special Services - Age in Months (use with K4Q37),float64,48667,94.729
liveusa_yr,How Long Living in the United States - Years,float64,49727,96.7922
liveusa_mo,How Long Living in the United States - Months,float64,51229,99.7158
k11q43r,How Many Times Moved to New Address,float64,1577,3.0696
a1_age,Adult 1 - Age in Years,float64,1478,2.8769
a2_age,Adult 2 - Age in Years,float64,9160,17.8297
hhcount,Number of People Living at Address,int8,0,0.0
famcount,Number of People That Are Family Members,float64,1591,3.0968
breathing,Difficulty Breathing Past 12 Months,float64,199,0.3873
swallowing,Difficulty Swallowing Past 12 Months,float64,334,0.6501
stomach,Difficulty Stomach Past 12 Months,float64,380,0.7397
physicalpain,Difficulty Physical Pain Past 12 Months,float64,259,0.5041
hands,Difficulty Hands Past 12 Months,float64,37589,73.1659
coordination,Difficulty Coordination Past 12 Months,float64,37585,73.1582
toothaches,Difficulty Toothaches Past 12 Months,float64,362,0.7046
gumbleed,Difficulty Bleeding Gums Past 12 Months,float64,349,0.6793
cavities,Difficulty Cavities Past 12 Months,float64,200,0.3893
memorycond,"Serious Difficulty Concentrating, Remembering, or Making Decisions",float64,14143,27.529
walkstairs,Serious Difficulty Walking or Climbing Stairs,float64,14173,27.5873
dressing,Difficulty Dressing or Bathing,float64,14227,27.6925
errandalone,Difficulty Doing Errands Alone,float64,29614,57.6428
k2q43b,Deafness,float64,266,0.5178
blindness,Blindness,float64,198,0.3854
allergies,Allergies,float64,121,0.2355
allergies_curr,Allergies Currently,float64,35869,69.818
k2q40a,Asthma,float64,446,0.8681
k2q40b,Asthma Currently,float64,45839,89.2243
autoimmune,Autoimmune Disease,float64,178,0.3465
k2q61a,Cerebral Palsy,float64,361,0.7027
diabetes,Diabetes,float64,136,0.2647
diabetes_curr,Diabetes Currently,float64,51321,99.8949
k2q42a,Epilepsy,float64,334,0.6501
k2q42b,Epilepsy Currently,float64,50835,98.9489
heart,Heart Condition,float64,100,0.1946
heart_born,Heart Born,float64,50043,97.4073
heart_curr,Heart Condition Currently,float64,50045,97.4112
headache,Headaches,float64,166,0.3231
headache_curr,Headaches Currently,float64,49388,96.1324
k2q38a,Tourette Syndrome,float64,312,0.6073
k2q38b,Tourette Syndrome Currently,float64,51195,99.6496
k2q33a,Anxiety,float64,295,0.5742
k2q33b,Anxiety Currently,float64,44026,85.6954
k2q32a,Depression,float64,293,0.5703
k2q32b,Depression Currently,float64,48154,93.7304
downsyn,Down Syndrome,float64,180,0.3504
blood,Blood Disorder,float64,223,0.4341
sicklecell,Blood Disorder Sickle Cell,float64,51106,99.4764
thalassemia,Blood Disorder Thalassemia,float64,51109,99.4822
hemophilia,Blood Disorder Hemophilia,float64,51116,99.4959
blood_other,Blood Disorder Other (includes Hemophilia),float64,51091,99.4472
blood_screen,Blood Disorder Newborn Screening,float64,51082,99.4297
cystfib,Cystic Fibrosis,float64,96,0.1869
cystfib_screen,Cystic Fibrosis Newborn Screening,float64,51335,99.9221
fasd,Fetal Alcohol Spectrum Disorder (FASD),float64,213,0.4146
k2q34a,Behavior Problems,float64,109,0.2122
k2q34b,Behavior Problems Currently,float64,46604,90.7134
k2q36a,Developmental Delay,float64,235,0.4574
k2q36b,Developmental Delay Currently,float64,47529,92.5139
k2q60a,Intellectual Disability,float64,211,0.4107
k2q60b,Intellectual Disability Currently,float64,50687,98.6608
k2q37a,Speech Disorder,float64,167,0.3251
k2q37b,Speech Disorder Currently,float64,46660,90.8224
k2q30a,Learning Disability,float64,224,0.436
k2q30b,Learning Disability Currently,float64,47249,91.9689
k2q35a,Autism ASD,float64,246,0.4788
k2q35b,Autism ASD Currently,float64,49031,95.4375
autismmed,Autism ASD - Medication Currently,float64,49018,95.4122
autismtreat,Autism ASD - Behavioral Treatment,float64,49017,95.4102
k2q31a,ADD/ADHD,float64,377,0.7338
k2q31b,ADD/ADHD Currently,float64,44732,87.0696
k2q31d,ADD/ADHD - Medication Currently,float64,44628,86.8672
addtreat,ADD/ADHD - Behavioral Treatment,float64,44612,86.836
concussion,Concussion/Brain Injury,float64,249,0.4847
seekcare,Concussion/Brain Injury - Seek Care,float64,48431,94.2696
confirminjury,Concussion/Brain Injury - Confirmed Injury,float64,48809,95.0054
k2q05,Born 3 or More Weeks Before Due Date,float64,560,1.09
k6q40,Ever Breastfed,float64,37673,73.3294
s4q01,Doctor Visit,float64,100,0.1946
docprivate,Child Spoke with Doctor Privately,float64,32977,64.1888
overweight,Doctor Identified as Overweight,float64,324,0.6307
k6q10,"Asked about Learning, Development, Behavior Concerns",float64,37581,73.1504
k6q12,Questionnaire - Development Concerns,float64,38796,75.5153
engage_fast,Eating Engagement - Fasting,float64,14117,27.4783
engage_interest,Eating Engagement - No Interest,float64,14178,27.5971
engage_picky,Eating Engagement - Picky,float64,14151,27.5445
engage_binge,Eating Engagement - Binging,float64,14289,27.8131
engage_purg,Eating Engagement - Purging,float64,14257,27.7509
engage_pills,Eating Engagement - Pills,float64,14213,27.6652
engage_exercise,Eating Engagement - Over-Exercise,float64,14294,27.8229
engage_noeat,Eating Engagement - Not Eating,float64,14213,27.6652
k4q01,Place Usually Goes Sick,float64,217,0.4224
usualgo,Place Usually Goes for Preventive Care,float64,418,0.8136
usualsick,Place Usually Goes for Sick Same As Preventive,float64,3876,7.5445
visionscreenother,Vision Screening from Other Provider,float64,194,0.3776
visionexamrec,Vision Test Recommended ,float64,21510,41.8686
eyedoctor,Vision Tested by Eye Doctor,float64,240,0.4672
k4q23,Emotions Concentration Behavior Medication,float64,959,1.8667
k4q27,Needed Health Care Not Received,float64,245,0.4769
notelig,Needed Health Care Not Received Due to - Not Eligible,float64,49650,96.6423
available,Needed Health Care Not Received Due to - Not Available,float64,49650,96.6423
appointment,Needed Health Care Not Received Due to - Getting Appointment,float64,49650,96.6423
