column,rf_importance,p_value,absolute_relationship_strength,rf_rank,stat_rank,combined_rank,selected_final
family_r,0.2825027657130957,0.0,0.4682411816102831,1.0,1.0,2.0,True
fpl_i1,0.08273248072624918,0.0,0.2282815267041579,3.0,3.0,6.0,True
foodsit,0.06510571631084891,0.0,0.2924566554101145,5.0,2.0,7.0,True
sc_age_years,0.08309028296441323,1.877909429646676e-199,0.1760933560700215,2.0,10.0,12.0,True
screentime,0.04994206905980052,3.3398797256200995e-263,0.2020381025669979,6.0,6.0,12.0,True
missmortgage,0.03892092329418966,2.3495606592341107e-286,0.2106140983739999,8.0,4.0,12.0,True
a1_grade,0.07629491935522145,1.8284835945483087e-193,0.1734425549865258,4.0,11.0,15.0,True
k7q04r_r,0.03234535564432045,1.6966794250170689e-267,0.2036583514410443,11.0,5.0,16.0,True
k7q82_r,0.035795823266857575,1.6782566314477542e-226,0.1875721345891564,9.0,8.0,17.0,True
k10q41_r,0.02754037653084392,1.348055217438214e-229,0.1888381965788392,13.0,7.0,20.0,True
makefriend,0.02785922563621664,1.2481685647993105e-224,0.1868021779447694,12.0,9.0,21.0,True
hoursleep,0.04021001397044154,8.519050085886674e-24,0.0591889186346092,7.0,17.0,24.0,True
a1_employed_r,0.032541538583429,8.141110423098621e-37,0.0745547833022713,10.0,16.0,26.0,False
k10q40_r,0.022379620968275445,6.487847596701101e-103,0.1263706443571087,16.0,12.0,28.0,False
k10q22,0.011558044122023717,1.4322576338050589e-93,0.120426934034078,19.0,13.0,32.0,False
sc_race_r,0.02641020787138315,0.000576536545973,0.0202746452934384,14.0,19.0,33.0,False
a2_employed_r,0.0236699962289275,0.0003992975147121,0.020852465018814,15.0,18.0,33.0,False
moves,0.012340392074194809,1.1029383756911012e-52,0.0897985125082716,18.0,15.0,33.0,False
k10q23,0.008334812299771574,1.99006313319148e-64,0.0995800460420925,20.0,14.0,34.0,False
sc_sex,0.02042543537949612,0.6171900260143102,0.0029441601199364,17.0,20.0,37.0,False
