column,korean_name,domain,reason,test_method,statistic,p_value,effect_size,effect_size_name,significant_0_05,rf_importance,effect_rank,rf_rank,selection_rank,selected_final,selection_reason
family_r,가족 형태,가족 환경,가구 구성의 생활환경 차이 확인,카이제곱 검정 / Cramér's V,1282.118571454457,1.227024493292979e-272,0.3334354558429347,Cramér's V,True,0.16789533607255638,1.0,1.0,2.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
everhomeless,거주지 없이 지낸 경험,주거 안정,주거 불안정 경험 확인,카이제곱 검정 / Cramér's V,1064.2170070021946,8.094931082634138e-232,0.30379569228705655,Cramér's V,True,0.06578825585089922,2.0,2.0,4.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
a1_relation,주 보호자와 아이의 관계,가족 환경,주 보호자 관계 확인,카이제곱 검정 / Cramér's V,649.2460178507338,4.6074060387752066e-138,0.2371826553082979,Cramér's V,True,0.06509640272646565,3.0,3.0,6.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
a1_marital,주 보호자의 혼인 상태,가족 환경,보호자 생활 여건 확인,카이제곱 검정 / Cramér's V,489.16079767277927,1.7447750858369625e-103,0.20630469848030808,Cramér's V,True,0.05874367774751417,4.0,4.0,8.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
foodsit,최근 12개월 가구 식품 상황,경제,식생활 안정성 확인,카이제곱 검정 / Cramér's V,437.9769858086642,1.3126829856718715e-94,0.19478983843661357,Cramér's V,True,0.044817535129674464,5.0,5.0,10.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
k7q04r_r,학교가 가정에 문제로 연락한 횟수,학교 생활,학교 적응 관련 신호 확인,카이제곱 검정 / Cramér's V,194.89623069200857,4.77332750927492e-43,0.15005245181672877,Cramér's V,True,0.03036609397818113,8.0,8.0,16.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
homeevic,주거 퇴거 걱정,주거 안정,주거 유지 불안 확인,카이제곱 검정 / Cramér's V,348.11416371305637,4.478674480711931e-74,0.1735254368028881,Cramér's V,True,0.026493118120098427,6.0,10.0,16.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
bullied_r,최근 따돌림·괴롭힘 경험,학교·사회생활,또래 환경 확인,카이제곱 검정 / Cramér's V,195.9756513947287,2.7542907961771665e-41,0.15006918323150856,Cramér's V,True,0.02405881632200822,7.0,12.0,19.0,True,관계 크기와 랜덤 포레스트 중요도를 함께 고려해 선정
famcount,가족 구성원 수,가족 환경,가족 구성 규모 확인,카이제곱 검정 / Cramér's V,246.40091599138424,1.6162391994791995e-49,0.14650424712047294,Cramér's V,True,0.023883633757445042,9.0,13.0,22.0,False,최종 8문항 범위 밖
a1_grade,주 보호자의 최종 학력,가족·경제,가구의 교육 자원 관련 특성 확인,카이제곱 검정 / Cramér's V,199.07524348081807,1.0007473361900225e-38,0.13110993345912098,Cramér's V,True,0.029730093318605735,14.0,9.0,23.0,False,최종 8문항 범위 밖
a2_grade,두 번째 보호자의 최종 학력,가족·경제,가구의 교육 자원 관련 특성 확인,카이제곱 검정 / Cramér's V,159.16898068074636,2.3861645327272535e-30,0.12675936522718528,Cramér's V,True,0.03687616506404107,17.0,7.0,24.0,False,최종 8문항 범위 밖
a2_employed_r,두 번째 보호자의 고용 상태,가족·경제,가구의 경제활동 상황 확인,카이제곱 검정 / Cramér's V,145.66005645948755,1.1196021399397377e-29,0.12119982086289242,Cramér's V,True,0.041300964508319084,19.0,6.0,25.0,False,최종 8문항 범위 밖
grades,학교 성적,학교 생활,학교 적응 특성 확인,카이제곱 검정 / Cramér's V,153.13043816821207,2.8776577231290425e-31,0.13273055299070075,Cramér's V,True,0.022522055801380222,13.0,15.0,28.0,False,최종 8문항 범위 밖
missmortgage,주거비·임대료 납부 곤란,주거·경제,주거비 부담 여부 확인,카이제곱 검정 / Cramér's V,235.37520635580634,7.743251251902971e-52,0.14279144806314337,Cramér's V,True,0.02025045122695806,10.0,19.0,29.0,False,최종 8문항 범위 밖
hhcount,함께 사는 가구원 수,가족 환경,가구 규모 확인,카이제곱 검정 / Cramér's V,189.25056676749134,1.1707710763933263e-36,0.12783376014544778,Cramér's V,True,0.023227112340559623,16.0,14.0,30.0,False,최종 8문항 범위 밖
k7q83_r,학교에서 과제를 끝까지 해냄,학교 생활,학교 참여 특성 확인,카이제곱 검정 / Cramér's V,167.74368806645947,3.9061631373188e-36,0.13903151997890464,Cramér's V,True,0.019692523050377827,11.0,20.0,31.0,False,최종 8문항 범위 밖
screentime,화면 사용 시간,생활습관,일상 미디어 사용 특성 확인,카이제곱 검정 / Cramér's V,102.46275735770095,2.9405355141278683e-21,0.09421578513936739,Cramér's V,True,0.02538062400675738,23.0,11.0,34.0,False,최종 8문항 범위 밖
