screen_rank,column,domain,nonmissing_count,missing_rate,category_count,test_method,chi_square,p_value,effect_size,rf_importance,effect_rank,rf_rank,combined_rank,significant_0_05
1,family_r,가족·가구,11532,0.004231068128831672,8,카이제곱 검정 / Cramér's V,1282.118571454457,1.227024493292979e-272,0.3334354558429347,0.08275087377556353,1.0,1.0,2.0,True
2,a2_relation,가족·가구,11500,0.006994214661946274,7,카이제곱 검정 / Cramér's V,910.9341791900113,1.6253516310278233e-193,0.2814456746081793,0.06029848895341992,4.0,2.0,6.0,True
3,k12q12,건강·의료 관련,10992,0.05085916587514028,2,카이제곱 검정 / Cramér's V,521.2238066288243,2.292382847891758e-115,0.21775782093823703,0.04562274634716996,6.0,3.0,9.0,True
4,instype,기타 설문 항목,11456,0.01079354114497888,4,카이제곱 검정 / Cramér's V,522.1379666064694,7.600518826783094e-113,0.21348931034725827,0.038524695947145554,7.0,4.0,11.0,True
5,everhomeless,주거·동네·경제,11531,0.004317416457991552,3,카이제곱 검정 / Cramér's V,1064.2170070021946,8.094931082634138e-232,0.30379569228705655,0.02769258989260889,3.0,8.0,11.0,True
6,a1_relation,가족·가구,11541,0.003453933166393197,6,카이제곱 검정 / Cramér's V,649.2460178507338,4.6074060387752066e-138,0.2371826553082979,0.028337803364350055,5.0,7.0,12.0,True
7,a1_marital,가족·가구,11493,0.0075986529660651,6,카이제곱 검정 / Cramér's V,489.16079767277927,1.7447750858369625e-103,0.20630469848030808,0.02875661635716862,8.0,6.0,14.0,True
8,k11q43r,건강·의료 관련,11334,0.02132803730247823,11,카이제곱 검정 / Cramér's V,1052.71023485949,8.224088769653646e-220,0.30476340597407436,0.020052021622286014,2.0,12.0,14.0,True
9,foodsit,경제·지원,11543,0.0032812365080735484,4,카이제곱 검정 / Cramér's V,437.9769858086642,1.3126829856718715e-94,0.19478983843661357,0.02358870236083022,9.0,10.0,19.0,True
10,k4q22_r,건강·의료 관련,11556,0.002158708228995776,3,카이제곱 검정 / Cramér's V,398.0576660739101,3.6549048262276285e-87,0.18559626391849732,0.02532072750334144,11.0,9.0,20.0,True
11,k11q62,건강·의료 관련,11519,0.0053535964079095555,2,카이제곱 검정 / Cramér's V,323.162934936688,2.964530646522233e-72,0.1674955922176315,0.03534260828609277,16.0,5.0,21.0,True
12,k12q03,건강·의료 관련,10992,0.05085916587514028,2,카이제곱 검정 / Cramér's V,333.38359451833196,1.7613560724820038e-74,0.17415411977425646,0.021059132755297697,13.0,11.0,24.0,True
13,k11q61,건강·의료 관련,11523,0.005008203091270147,2,카이제곱 검정 / Cramér's V,397.4123719601797,2.014806131095402e-88,0.18571112061778242,0.01299087576716423,10.0,14.0,24.0,True
14,k2q34a,건강·의료 관련,11562,0.0016406182540368297,2,카이제곱 검정 / Cramér's V,317.3723476993804,5.410882093477002e-71,0.16567922703371066,0.013026854255414722,17.0,13.0,30.0,True
15,homeevic,주거·동네·경제,11561,0.0017269665831965986,5,카이제곱 검정 / Cramér's V,348.11416371305637,4.478674480711931e-74,0.1735254368028881,0.01091092233976651,14.0,17.0,31.0,True
16,k7q04r_r,학교·사회생활,8656,0.252568862792505,3,카이제곱 검정 / Cramér's V,194.89623069200857,4.77332750927492e-43,0.15005245181672877,0.01132959801077403,20.0,15.0,35.0,True
17,k2q33a,건강·의료 관련,11513,0.005871686382868502,2,카이제곱 검정 / Cramér's V,243.2534289512762,7.679487826852018e-55,0.1453567597065848,0.011067455285137258,22.0,16.0,38.0,True
18,memorycond,기타 설문 항목,8694,0.24928762628443135,2,카이제곱 검정 / Cramér's V,222.53472168940817,2.532271178166077e-50,0.15998861303848882,0.008417879749693076,18.0,21.0,39.0,True
19,a2_marital,가족·가구,9885,0.1464467662550729,6,카이제곱 검정 / Cramér's V,306.25145545787484,4.534451505861377e-64,0.17601543118132537,0.006710422760035429,12.0,27.0,39.0,True
20,missmortgage,주거·동네·경제,11544,0.0031948881789137795,3,카이제곱 검정 / Cramér's V,235.37520635580634,7.743251251902971e-52,0.14279144806314337,0.009551722775840857,23.0,19.0,42.0,True
21,bullied_r,학교·사회생활,8702,0.24859683965115276,5,카이제곱 검정 / Cramér's V,195.9756513947287,2.7542907961771665e-41,0.15006918323150856,0.007356739470962549,19.0,23.0,42.0,True
22,famcount,가족·가구,11480,0.008721181245142873,8,카이제곱 검정 / Cramér's V,246.40091599138424,1.6162391994791995e-49,0.14650424712047294,0.007936065667921518,21.0,22.0,43.0,True
23,higrade_tvis,기타 설문 항목,11581,0.0,4,카이제곱 검정 / Cramér's V,226.54368467432693,7.728308857274118e-49,0.1398630353357873,0.01083893671816792,27.0,18.0,45.0,True
24,howmuch,기타 설문 항목,11513,0.005871686382868502,6,카이제곱 검정 / Cramér's V,214.77133585904195,1.958088837752382e-44,0.1365821380559904,0.00943459006471352,30.0,20.0,50.0,True
25,k7q83_r,학교·사회생활,8678,0.25066919955098865,4,카이제곱 검정 / Cramér's V,167.74368806645947,3.9061631373188e-36,0.13903151997890464,0.007158365607477045,28.0,24.0,52.0,True
26,bully,학교·사회생활,8701,0.24868318798031253,5,카이제곱 검정 / Cramér's V,171.9134850632521,4.062228029714406e-36,0.14056279619435044,0.006554807387887119,26.0,28.0,54.0,True
27,a1_physhealth,가족·가구,11513,0.005871686382868502,5,카이제곱 검정 / Cramér's V,213.2691767298106,5.261851016402532e-45,0.13610365680793388,0.006727154638776714,31.0,26.0,57.0,True
