column,korean_name,domain,test_method,statistic,p_value,effect_size,rf_importance,rf_rank,selected_final,selection_reason
makefriend,친구를 사귀거나 유지하는 어려움,학교·사회생활,Spearman rank correlation,0.3111002538809078,0.0,0.3111002538809078,0.25779374451139986,1.0,True,통계적 관계·관계 크기·RF 중요도·설문 활용 가능성을 함께 고려
screentime,TV·휴대폰·컴퓨터 사용시간,생활습관,Spearman rank correlation,0.08798274416321646,9.287331848461923e-54,0.08798274416321646,0.07331797832070688,4.0,True,통계적 관계·관계 크기·RF 중요도·설문 활용 가능성을 함께 고려
k7q82_r,학교에서 잘하고 싶은 마음,학교·사회생활,Spearman rank correlation,0.15576448711658866,8.290308496976446e-166,0.15576448711658866,0.06742260721256262,5.0,True,통계적 관계·관계 크기·RF 중요도·설문 활용 가능성을 함께 고려
k7q04r_r,학교가 문제로 가정에 연락한 횟수,학교·사회생활,Spearman rank correlation,0.17348608021961565,8.597157248030229e-206,0.17348608021961565,0.06137454308144141,7.0,True,통계적 관계·관계 크기·RF 중요도·설문 활용 가능성을 함께 고려
fpl_i1,가구 빈곤수준,경제 상황,Spearman rank correlation,-0.05084624502916247,5.128770372125126e-19,0.05084624502916247,0.0874234218500296,3.0,True,통계적 관계·관계 크기·RF 중요도·설문 활용 가능성을 함께 고려
a1_employed_r,보호자 1의 고용 상태,가족·보호자 환경,Chi-square / Cramér's V,123.08311191794766,6.974291268764957e-25,0.06335350811190359,0.05161511246535713,9.0,True,통계적 관계·관계 크기·RF 중요도·설문 활용 가능성을 함께 고려
a1_grade,보호자 1의 최종 학력,가족·보호자 환경,Spearman rank correlation,-0.02932261858117007,2.809657919879881e-07,0.02932261858117007,0.08986613451700061,2.0,True,통계적 관계·관계 크기·RF 중요도·설문 활용 가능성을 함께 고려
family_r,가족 형태,가족·보호자 환경,Chi-square / Cramér's V,100.97952284927513,6.770335862806548e-19,0.05738363975984353,0.05518736785217593,8.0,True,통계적 관계·관계 크기·RF 중요도·설문 활용 가능성을 함께 고려
foodsit,최근 12개월 가구 식품 상황,경제 상황,Chi-square / Cramér's V,117.3822316602388,2.8259675701418403e-25,0.06186893145559684,0.030098864655147096,12.0,True,통계적 관계·관계 크기·RF 중요도·설문 활용 가능성을 함께 고려
k10q40_r,아동의 동네 안전 인식,주거·동네 환경,Chi-square / Cramér's V,99.90018890139233,1.6328889188783323e-21,0.05707613927670637,0.031557859897267865,11.0,True,통계적 관계·관계 크기·RF 중요도·설문 활용 가능성을 함께 고려
k10q41_r,학교가 안전하다는 인식,학교·사회생활,Spearman rank correlation,0.05921573220825286,3.1103340236435667e-25,0.05921573220825286,0.027454374202703656,13.0,False,최종 설문 길이 제한 또는 상대적 중요도·관계 크기 낮음
a2_employed_r,보호자 2의 고용 상태,가족·보호자 환경,Chi-square / Cramér's V,53.07334130238151,3.248729770221851e-10,0.041601563161379064,0.03994905973891336,10.0,False,최종 설문 길이 제한 또는 상대적 중요도·관계 크기 낮음
hoursleep,최근 1주 평균 수면시간,생활습관,Spearman rank correlation,-0.0064459736911900555,0.2589965776274791,0.0064459736911900555,0.06172711402590737,6.0,False,최종 설문 길이 제한 또는 상대적 중요도·관계 크기 낮음
missmortgage,주거비·임대료 납부 곤란,경제 상황,Chi-square / Cramér's V,78.0483178645253,1.1272574515045431e-17,0.05044907503481795,0.02039656278178332,14.0,False,최종 설문 길이 제한 또는 상대적 중요도·관계 크기 낮음
k10q22,동네의 노후·불량 주택,주거·동네 환경,Chi-square / Cramér's V,31.410433817988455,2.0885553133103124e-08,0.03200430507811689,0.01559224130372522,16.0,False,최종 설문 길이 제한 또는 상대적 중요도·관계 크기 낮음
moves,아동의 이사 횟수,주거 안정성,Spearman rank correlation,0.01042726939226961,0.06785501912793725,0.01042726939226961,0.018334897197278113,15.0,False,최종 설문 길이 제한 또는 상대적 중요도·관계 크기 낮음
k10q23,동네의 기물파손,주거·동네 환경,Chi-square / Cramér's V,13.773347679761446,0.0002062414623170963,0.021192939072446983,0.010888116386599967,17.0,False,최종 설문 길이 제한 또는 상대적 중요도·관계 크기 낮음
